,,,,,,,,,,,,,,,,,,,,,
102-29136-2024,09/06/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,DUBAI SPORTS CITY,Unit,Flat,899000.00,59.30,59.30,1 B/R,1,Nakheel Metro Station,Marina Mall,Sports City Swimming Academy,1,1,,Sportz By Danube
102-29138-2024,06/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,JUMEIRAH VILLAGE CIRCLE,Unit,Flat,950000.00,73.61,73.61,1 B/R,1,Dubai Internet City,Mall of the Emirates,Sports City Swimming Academy,1,1,,Binghatti Phantom
102-29139-2024,06/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,JUMEIRAH VILLAGE CIRCLE,Unit,Flat,950000.00,84.89,84.89,1 B/R,1,Dubai Internet City,Mall of the Emirates,Sports City Swimming Academy,1,1,,Binghatti Phantom
102-2914-2024,16/01/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Madinat Dubai Almelaheyah,Unit,Flat,1624888.00,75.65,75.65,1 B/R,1,,,,1,1,,Avonlea
102-29140-2024,06/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,JUMEIRAH VILLAGE CIRCLE,Unit,Flat,950000.00,84.76,84.76,1 B/R,1,Dubai Internet City,Mall of the Emirates,Sports City Swimming Academy,1,1,,Binghatti Phantom
102-29141-2024,03/06/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,JUMEIRAH VILLAGE TRIANGLE,Unit,Flat,2164753.00,135.78,135.78,1 B/R,1,Harbour Tower,Ibn-e-Battuta Mall,Sports City Swimming Academy,1,1,,555 PARK VIEWS
102-29142-2024,03/06/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,JUMEIRAH VILLAGE TRIANGLE,Unit,Flat,1439409.00,113.86,113.86,1 B/R,1,Harbour Tower,Ibn-e-Battuta Mall,Sports City Swimming Academy,2,1,,555 PARK VIEWS
102-29143-2024,06/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,JUMEIRAH VILLAGE CIRCLE,Unit,Flat,950000.00,73.61,73.61,1 B/R,1,Dubai Internet City,Mall of the Emirates,Sports City Swimming Academy,1,1,,Binghatti Phantom
102-29144-2024,03/06/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,JUMEIRAH VILLAGE TRIANGLE,Unit,Flat,1030806.00,72.95,72.95,1 B/R,1,Harbour Tower,Ibn-e-Battuta Mall,Sports City Swimming Academy,2,1,,555 PARK VIEWS
102-29145-2024,06/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,JUMEIRAH VILLAGE CIRCLE,Unit,Flat,599600.00,38.06,38.06,Studio,1,Dubai Internet City,Mall of the Emirates,Sports City Swimming Academy,1,1,,Binghatti Azure
102-29147-2024,06/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,TOWN SQUARE,Unit,Flat,823888.00,60.04,60.04,1 B/R,1,,,Dubai Cycling Course,1,1,,Grove
102-29148-2024,06/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,TOWN SQUARE,Unit,Flat,823888.00,60.21,60.21,1 B/R,1,,,Dubai Cycling Course,1,1,,Grove
102-29149-2024,07/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,MAJAN,Unit,Flat,681285.00,41.28,41.28,Studio,1,,,,1,1,,Samana Barari Views 2
102-2915-2024,16/01/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,ARJAN,Unit,Flat,860000.00,75.56,75.56,1 B/R,1,Sharaf Dg Metro Station,Mall of the Emirates,Motor City,1,1,,LEGACY BY SUNRISE
102-29150-2024,06/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Wadi Al Safa 5,Building,Villa,3011453.00,169.60,169.60,3 B/R,,,,,1,1,,Haven By Aldar 2
102-29151-2024,08/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Wadi Al Safa 5,Building,Villa,3895657.00,252.00,252.00,4 B/R,,,,,2,1,,Haven By Aldar 2
102-29152-2024,07/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,MAJAN,Unit,Flat,743580.00,44.40,44.40,Studio,1,,,,1,1,,Samana Barari Views
102-29153-2024,07/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,MAJAN,Unit,Flat,1121472.00,68.01,68.01,1 B/R,1,,,,2,1,,Samana Barari Views 2
102-29154-2024,07/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,MAJAN,Unit,Flat,669708.00,37.85,37.85,Studio,1,,,,1,1,,Samana Barari Views 2
102-29155-2024,06/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,JUMEIRAH VILLAGE CIRCLE,Unit,Flat,950000.00,85.02,85.02,1 B/R,1,Dubai Internet City,Mall of the Emirates,Sports City Swimming Academy,1,1,,Binghatti Phantom
